case_id,crime_datetime,district,taluk,police_station,crime_category,crime_type,crime_severity,case_status,fir_registered,act_id,section_id
CR000038,2025-02-01 16:25:26,Mysuru,Tirumakudal - Narsipur,Biligere PS I Badanavalu,Economic Crime,Financial Fraud,Medium,Charge Sheet Filed,Yes,ACT002,SEC014
CR000039,2025-09-23 20:35:43,Hassan,Arsikere,Halebeedu PS,Violent Crime,Murder,Critical,Under Investigation,Yes,ACT001,SEC001
CR000040,2025-12-01 04:40:32,Tumakuru,Tumakuru,Tiptur Town PS,Economic Crime,Financial Fraud,Medium,Pending Trial,Yes,ACT002,SEC014
CR000041,2025-09-10 01:53:03,Gadag,Ron,Gadag Women PS,Public Order,Illegal Liquor,Medium,Pending Trial,Yes,ACT004,SEC017
CR000042,2025-10-30 21:21:58,Chikkaballapura,Gauribidanur,Chelur PS,Rural Crime,Crop Theft,Medium,Charge Sheet Filed,Yes,ACT001,SEC020
CR000043,2024-08-31 14:57:56,Mysuru,Hunsur,Beechanahalli PS,Violent Crime,Assault,Critical,Under Investigation,Yes,ACT001,SEC006
CR000044,2024-11-08 05:29:28,Dharwad,Kalghatgi,Kundagol PS,Crime Against Women,Domestic Violence,High,Pending Trial,Yes,ACT001,SEC012
CR000045,2024-09-06 14:34:51,Mandya,Malavalli,Maddur Traffic PS,Cyber Crime,Phishing,Medium,Charge Sheet Filed,Yes,ACT002,SEC009
CR000046,2025-01-30 04:22:54,Kalaburagi,Aland,Narona PS,Violent Crime,Attempt to Murder,Critical,Charge Sheet Filed,Yes,ACT001,SEC002
CR000047,2024-08-11 15:28:39,Shivamogga,Bhadravati,Agumbe PS,Violent Crime,Assault,Critical,Charge Sheet Filed,Yes,ACT001,SEC006
CR000048,2024-09-05 00:35:20,Mysuru,Saraguru,Metagalli PS,Violent Crime,Murder,Critical,Under Investigation,Yes,ACT001,SEC001
CR000049,2024-10-06 11:01:29,Dharwad,Kalghatgi,Hubli Sub-Urban PS,Rural Crime,Cattle Theft,Medium,Pending Trial,Yes,ACT001,SEC019
CR000050,2025-06-02 01:55:54,Belagavi,Yaragatti,Agali PS,Crime Against Women,Domestic Violence,High,Closed,Yes,ACT001,SEC012
CR000051,2026-05-22 03:52:20,Belagavi,Savadatti,Gokak Rural PS,Rural Crime,Sand Mining,Medium,Pending Trial,Yes,ACT001,SEC021
CR000052,2025-09-06 22:03:45,Mysuru,Hunsur,Biligere PS I Badanavalu,Crime Against Women,Domestic Violence,High,Pending Trial,Yes,ACT001,SEC012
CR000053,2025-10-24 17:48:01,Haveri,Ranibennur,Halageri PS,Cyber Crime,OTP Scam,Medium,Charge Sheet Filed,Yes,ACT002,SEC009
CR000054,2025-01-09 21:14:31,Uttara Kannada,Honavar,Yellapura PS,Public Order,Illegal Liquor,Medium,Charge Sheet Filed,No,ACT004,SEC017
CR000055,2024-09-09 09:36:24,Chitradurga,Hiriyur,Srirampura PS,Violent Crime,Robbery,Critical,Pending Trial,Yes,ACT001,SEC004
CR000056,2024-11-26 05:09:09,Bagalkote,Rabakavi Banahatti,Bilagi PS,Crime Against Women,Domestic Violence,High,Charge Sheet Filed,Yes,ACT001,SEC012
CR000057,2025-09-21 14:49:30,Uttara Kannada,Siddapur,UK CEN Crime PS,Rural Crime,Crop Theft,Medium,Closed,Yes,ACT001,SEC020
CR000058,2024-10-17 04:42:39,Uttara Kannada,Yellapur,UK CEN Crime PS,Cyber Crime,OTP Scam,Medium,Pending Trial,Yes,ACT002,SEC009
CR000059,2025-03-09 13:50:43,Bidar,Bidar,Janwada PS,Crime Against Women,Domestic Violence,High,Under Investigation,Yes,ACT001,SEC012
CR000060,2024-08-08 05:41:17,Chikkaballapura,Chintamani,Chelur PS,Economic Crime,Forgery,Medium,Under Investigation,Yes,ACT001,SEC015
CR000061,2024-12-17 07:06:00,Bengaluru Urban,Bengaluru South,Thalaghattapura PS,Crime Against Women,Domestic Violence,High,Pending Trial,Yes,ACT001,SEC012
CR000062,2025-02-09 04:23:37,Chitradurga,Challakere,Chitradurga CEN Crime PS,Cyber Crime,Phishing,Medium,Charge Sheet Filed,Yes,ACT002,SEC009
CR000063,2024-08-05 17:07:54,Raichur,Maski,Mudgal PS,Violent Crime,Assault,Critical,Closed,Yes,ACT001,SEC006
CR000064,2026-06-10 19:26:53,Koppal,Koppal,Kushtagi PS,Property Crime,House Burglary,Medium,Closed,Yes,ACT001,SEC003
CR000065,2025-07-24 02:34:38,Chitradurga,Challakere,Chitrahalli Gate PS,Economic Crime,Financial Fraud,Medium,Under Investigation,No,ACT002,SEC014
CR000066,2025-04-29 03:58:07,Chikkamagaluru,Chikkamagaluru,Koppa PS,Violent Crime,Robbery,Critical,Under Investigation,Yes,ACT001,SEC004
CR000067,2025-01-13 14:32:53,Dakshina Kannada,Mangaluru,Mangalore East PS,Economic Crime,Forgery,Medium,Pending Trial,No,ACT001,SEC015
CR000068,2025-08-28 23:16:44,Vijayanagara,Hosapete,Cowlbazar PS,Cyber Crime,UPI Fraud,Medium,Closed,Yes,ACT002,SEC008
CR000069,2025-02-23 13:41:21,Mysuru,Mysuru,Devaraja PS,Crime Against Women,Domestic Violence,High,Closed,Yes,ACT001,SEC012
CR000070,2025-02-17 04:13:41,Haveri,Hangal,Byadagi PS,Public Order,Illegal Liquor,Medium,Under Investigation,Yes,ACT004,SEC017
CR000071,2024-10-30 17:23:47,Tumakuru,Turuvekere,Sira PS,Cyber Crime,Phishing,Medium,Under Investigation,Yes,ACT002,SEC009
CR000072,2026-02-12 06:48:28,Davanagere,Davanagere,Malebennur PS,Cyber Crime,Phishing,Medium,Closed,Yes,ACT002,SEC009
CR000073,2025-11-07 01:27:10,Tumakuru,Pavagada,Chikkanayakanahalli PS,Property Crime,Vehicle Theft,Medium,Charge Sheet Filed,Yes,ACT001,SEC003
CR000074,2024-12-23 04:57:14,Mysuru,Hunsur,Periyapatna PS,Public Order,Illegal Gambling,Medium,Charge Sheet Filed,Yes,ACT007,SEC016
CR000075,2026-06-06 11:51:01,Dakshina Kannada,Bantval,DK CEN Crime PS,Economic Crime,Financial Fraud,Medium,Closed,Yes,ACT002,SEC014
CR000076,2025-02-26 13:57:50,Bagalkote,Terdal,Kaladagi PS,Cyber Crime,UPI Fraud,Medium,Pending Trial,Yes,ACT002,SEC008
CR000077,2025-07-27 15:49:07,Bagalkote,Bagalkot,Bagalkot Women PS,Violent Crime,Murder,Critical,Under Investigation,Yes,ACT001,SEC001
CR000078,2024-09-24 11:09:42,Tumakuru,Madhugiri,Tumkur Traffic PS,Violent Crime,Robbery,Critical,Pending Trial,Yes,ACT001,SEC004
CR000079,2025-11-01 11:13:38,Shivamogga,Bhadravati,Shikaripura Rural PS,Economic Crime,Cheating,Medium,Pending Trial,Yes,ACT001,SEC005
CR000080,2025-07-27 22:23:37,Mysuru,Mysuru,Periyapatna PS,Crime Against Women,Domestic Violence,High,Charge Sheet Filed,Yes,ACT001,SEC012
CR000081,2025-06-05 18:09:34,Mandya,Nagamangala,Halagur PS,Property Crime,Chain Snatching,Medium,Pending Trial,Yes,ACT001,SEC004
CR000082,2026-02-28 05:14:26,Shivamogga,Hosanagara,Vinobanagara PS,Crime Against Women,Sexual Harassment,High,Pending Trial,No,ACT001,SEC007
CR000083,2025-06-09 00:45:18,Tumakuru,Madhugiri,Bellavi PS,Violent Crime,Murder,Critical,Pending Trial,Yes,ACT001,SEC001
CR000084,2026-01-11 23:29:19,Haveri,Hangal,Kaginele PS,Rural Crime,Sand Mining,Medium,Charge Sheet Filed,No,ACT001,SEC021
CR000085,2024-08-28 19:24:40,Vijayapura,Kolhar,Vijayapura Women PS,Property Crime,Vehicle Theft,Medium,Charge Sheet Filed,Yes,ACT001,SEC003
CR000086,2025-03-19 01:56:10,Mandya,Pandavapura,Malavalli Town PS,Public Order,Rioting,Medium,Closed,Yes,ACT001,SEC018
CR000087,2024-08-18 20:07:40,Vijayanagara,Hosapete,Hatcholli PS,Rural Crime,Cattle Theft,Medium,Pending Trial,Yes,ACT001,SEC019
CR000088,2026-02-09 04:21:49,Mandya,Malavalli,Halagur PS,Violent Crime,Robbery,Critical,Under Investigation,Yes,ACT001,SEC004
CR000089,2025-11-24 06:14:54,Tumakuru,Sira,Tumkur Traffic PS,Crime Against Women,Domestic Violence,High,Closed,Yes,ACT001,SEC012
CR000090,2025-11-17 18:14:02,Bengaluru Rural,Nelamangala,Sarjapura PS,Property Crime,Vehicle Theft,Medium,Charge Sheet Filed,No,ACT001,SEC003
CR000091,2025-02-24 04:20:37,Hassan,Belur,Gandasi PS,Cyber Crime,OTP Scam,Medium,Closed,Yes,ACT002,SEC009
CR000092,2025-03-20 19:12:33,Raichur,Sindhnur,Idapanur PS,Economic Crime,Forgery,Medium,Under Investigation,No,ACT001,SEC015
CR000093,2025-11-13 04:34:38,Chikkaballapura,Bagepalli,Nandi Giridhama PS,Property Crime,Chain Snatching,Medium,Under Investigation,Yes,ACT001,SEC004
CR000094,2025-10-16 22:58:33,Bengaluru Urban,Anekal,Wilsongarden PS,Public Order,Illegal Liquor,Medium,Pending Trial,Yes,ACT004,SEC017
CR000095,2025-11-18 14:33:30,Kalaburagi,Jevargi,Miryan PS,Cyber Crime,Phishing,Medium,Closed,No,ACT002,SEC009
CR000096,2025-02-20 22:12:35,Belagavi,Belagavi,Ramadurga PS,Property Crime,Chain Snatching,Medium,Pending Trial,Yes,ACT001,SEC004
CR000097,2025-03-22 02:17:45,Kolar,Kolar,Srinivasapura PS,Cyber Crime,OTP Scam,Medium,Charge Sheet Filed,No,ACT002,SEC009
CR000098,2026-03-12 15:34:10,Haveri,Savanur,Shiggaon PS,Public Order,Illegal Liquor,Medium,Charge Sheet Filed,Yes,ACT004,SEC017
CR000099,2024-08-08 11:31:39,Mandya,Krishnarajpet,Mandya Central PS,Violent Crime,Assault,Critical,Charge Sheet Filed,Yes,ACT001,SEC006
CR000100,2025-03-11 10:58:46,Chikkaballapura,Chikkaballapura,Peresandra PS,Economic Crime,Financial Fraud,Medium,Under Investigation,Yes,ACT002,SEC014
CR000101,2024-10-14 20:25:01,Shivamogga,Shikarpur,Kargal PS,Public Order,Illegal Liquor,Medium,Closed,Yes,ACT004,SEC017
CR000102,2025-01-06 14:51:17,Raichur,Arakera,Balaganoor PS,Economic Crime,Cheating,Medium,Closed,Yes,ACT001,SEC005
CR000103,2025-01-01 12:31:10,Bengaluru South,Magadi,Channapatna Rural PS,Economic Crime,Financial Fraud,Medium,Closed,Yes,ACT002,SEC014
CR000104,2025-03-08 12:29:16,Tumakuru,Tumakuru,Kora PS,Crime Against Women,Domestic Violence,High,Charge Sheet Filed,Yes,ACT001,SEC012
CR000105,2026-02-10 19:47:34,Bengaluru Rural,Hosakote,Doddaballapura Town PS,Public Order,Rioting,Medium,Charge Sheet Filed,Yes,ACT001,SEC018
CR000106,2025-12-21 22:00:38,Davanagere,Honnali,Jagalur PS,Rural Crime,Crop Theft,Medium,Pending Trial,No,ACT001,SEC020
CR000107,2025-08-21 05:01:24,Mysuru,Heggadadevankote,Saraswathipuram PS,Rural Crime,Crop Theft,Medium,Charge Sheet Filed,Yes,ACT001,SEC020
CR000108,2025-10-24 02:58:42,Hassan,Channarayapatna,Pension Mohalla PS,Public Order,Rioting,Medium,Pending Trial,Yes,ACT001,SEC018
CR000109,2024-12-14 17:48:59,Bengaluru Rural,Devanahalli,Dobbespet PS,Economic Crime,Financial Fraud,Medium,Under Investigation,Yes,ACT002,SEC014
CR000110,2025-05-18 06:47:45,Kolar,Mulbagal,BEML Nagar PS,Public Order,Rioting,Medium,Closed,Yes,ACT001,SEC018
CR000111,2025-01-19 12:47:38,Belagavi,Nippani,Basaweshwar Chowk PS,Public Order,Illegal Liquor,Medium,Charge Sheet Filed,Yes,ACT004,SEC017
CR000112,2024-08-04 15:24:12,Koppal,Koppal,Kushtagi PS,Crime Against Women,Sexual Harassment,High,Pending Trial,Yes,ACT001,SEC007
CR000113,2024-11-04 00:14:47,Bengaluru South,Harohalli,Tavarekere PS,Violent Crime,Robbery,Critical,Pending Trial,Yes,ACT001,SEC004
CR000114,2025-09-08 18:32:29,Mysuru,Mysuru,Deveraja Traffic PS,Crime Against Women,Sexual Harassment,High,Closed,Yes,ACT001,SEC007
CR000115,2026-03-28 05:11:03,Tumakuru,Tiptur,Thirumani PS,Crime Against Women,Sexual Harassment,High,Closed,Yes,ACT001,SEC007
CR000116,2026-07-13 20:58:51,Yadgir,Shorapur,Narayanapura PS,Economic Crime,Financial Fraud,Medium,Pending Trial,No,ACT002,SEC014
CR000117,2026-05-25 06:39:30,Belagavi,Kittur,Mudalgi PS,Public Order,Illegal Liquor,Medium,Charge Sheet Filed,Yes,ACT004,SEC017
CR000118,2024-11-01 21:08:13,Chikkaballapura,Sidlaghatta,Peresandra PS,Violent Crime,Murder,Critical,Charge Sheet Filed,Yes,ACT001,SEC001
CR000119,2025-07-04 10:40:46,Shivamogga,Sorab,Anavatti PS,Economic Crime,Financial Fraud,Medium,Under Investigation,No,ACT002,SEC014
CR000120,2025-01-21 13:55:08,Uttara Kannada,Haliyal,Ambikanagar PS,Cyber Crime,UPI Fraud,Medium,Charge Sheet Filed,Yes,ACT002,SEC008
CR000121,2024-12-26 14:47:35,Hassan,Hole Narsipur,Konanur PS,Violent Crime,Murder,Critical,Under Investigation,Yes,ACT001,SEC001
CR000122,2024-07-29 06:51:43,Dharwad,Kalghatgi,Kundagol PS,Property Crime,Vehicle Theft,Medium,Closed,No,ACT001,SEC003
CR000123,2026-05-31 09:06:43,Bengaluru South,Magadi,Kanakapura Rural PS,Property Crime,Vehicle Theft,Medium,Under Investigation,Yes,ACT001,SEC003
CR000124,2025-01-09 23:51:35,Mysuru,Heggadadevankote,Beechanahalli PS,Violent Crime,Attempt to Murder,Critical,Pending Trial,Yes,ACT001,SEC002
CR000125,2025-02-10 10:07:09,Belagavi,Khanapur,Hukkeri PS,Crime Against Women,Stalking,High,Under Investigation,Yes,ACT001,SEC013
CR000126,2025-06-06 09:03:46,Mysuru,Heggadadevankote,Biligere PS I Badanavalu,Cyber Crime,OTP Scam,Medium,Pending Trial,No,ACT002,SEC009
CR000127,2026-01-12 17:49:25,Chitradurga,Hosdurga,Srirampura PS,Economic Crime,Financial Fraud,Medium,Closed,Yes,ACT002,SEC014
CR000128,2024-11-26 20:17:59,Shivamogga,Sorab,Hosanagara PS,Economic Crime,Financial Fraud,Medium,Closed,Yes,ACT002,SEC014
CR000129,2024-11-16 16:26:31,Mysuru,Hunsur,T. Narasipura PS,Public Order,Illegal Liquor,Medium,Under Investigation,No,ACT004,SEC017
CR000130,2025-04-12 20:33:16,Bengaluru Urban,Bengaluru East,Peenya PS,Violent Crime,Attempt to Murder,Critical,Charge Sheet Filed,Yes,ACT001,SEC002
CR000131,2024-08-21 07:58:41,Kolar,Srinivaspur,Champion Reefs PS,Economic Crime,Cheating,Medium,Closed,Yes,ACT001,SEC005
CR000132,2025-01-27 07:37:05,Hassan,Alur,Arakalagud PS,Crime Against Women,Sexual Harassment,High,Under Investigation,Yes,ACT001,SEC007
CR000133,2025-04-08 11:29:58,Belagavi,Nippani,Nandagad PS,Rural Crime,Sand Mining,Medium,Pending Trial,Yes,ACT001,SEC021
CR000134,2025-07-24 14:21:07,Chikkamagaluru,Chikkamagaluru,Koppa PS,Violent Crime,Assault,Critical,Charge Sheet Filed,Yes,ACT001,SEC006
CR000135,2025-09-16 14:03:12,Tumakuru,Turuvekere,Jayanagara PS,Cyber Crime,Phishing,Medium,Under Investigation,No,ACT002,SEC009
CR000136,2025-04-24 09:40:15,Haveri,Hangal,Rattihalli PS,Violent Crime,Murder,Critical,Under Investigation,Yes,ACT001,SEC001
CR000137,2025-02-08 07:53:22,Raichur,Arakera,Gabbur PS,Rural Crime,Cattle Theft,Medium,Charge Sheet Filed,Yes,ACT001,SEC019
CR000138,2024-11-23 23:58:25,Raichur,Maski,Mudgal PS,Crime Against Women,Stalking,High,Pending Trial,Yes,ACT001,SEC013
CR000139,2026-01-05 01:23:54,Raichur,Devadurga,Hutti PS,Rural Crime,Cattle Theft,Medium,Closed,No,ACT001,SEC019
CR000140,2024-09-26 00:31:40,Kodagu,Ponnampet,Madikeri Rural PS,Violent Crime,Attempt to Murder,Critical,Pending Trial,Yes,ACT001,SEC002
CR000141,2025-09-30 10:12:45,Mandya,Mandya,K.R. Sagar PS,Property Crime,House Burglary,Medium,Charge Sheet Filed,Yes,ACT001,SEC003
CR000142,2025-05-17 14:43:54,Tumakuru,Tiptur,Chelur PS,Crime Against Women,Sexual Harassment,High,Under Investigation,Yes,ACT001,SEC007
CR000143,2024-10-16 08:06:45,Kolar,Kolar,Bethamangala PS,Public Order,Illegal Gambling,Medium,Charge Sheet Filed,Yes,ACT007,SEC016
CR000144,2024-12-20 17:32:51,Hassan,Belur,Halebeedu PS,Crime Against Women,Stalking,High,Under Investigation,Yes,ACT001,SEC013
CR000145,2024-12-05 10:26:40,Vijayapura,Talikoti,Almel PS,Economic Crime,Financial Fraud,Medium,Under Investigation,Yes,ACT002,SEC014
CR000146,2026-05-07 09:17:33,Dharwad,Navalgund,Annigeri PS,Crime Against Women,Sexual Harassment,High,Charge Sheet Filed,Yes,ACT001,SEC007
CR000147,2024-08-19 07:00:36,Chitradurga,Holalkere,Chitradurga Extension PS,Crime Against Women,Domestic Violence,High,Pending Trial,Yes,ACT001,SEC012
CR000148,2025-05-03 05:25:41,Kolar,Kolar Gold Field,Gownapalli PS,Public Order,Illegal Liquor,Medium,Under Investigation,Yes,ACT004,SEC017
CR000149,2024-11-20 19:19:20,Vijayapura,Chadchan,Golgumbaz PS,Crime Against Women,Domestic Violence,High,Charge Sheet Filed,Yes,ACT001,SEC012
CR000150,2024-08-26 10:32:34,Mandya,Shrirangapattana,K.M. Doddi PS,Public Order,Rioting,Medium,Under Investigation,No,ACT001,SEC018
CR000151,2026-07-18 07:44:40,Dakshina Kannada,Ullala,Surathkal PS,Public Order,Illegal Gambling,Medium,Pending Trial,No,ACT007,SEC016
CR000152,2026-03-27 19:47:23,Dakshina Kannada,Beltangadi,Dharmasthala PS,Public Order,Illegal Liquor,Medium,Pending Trial,Yes,ACT004,SEC017
CR000153,2024-11-17 06:30:13,Uttara Kannada,Siddapur,UK CEN Crime PS,Crime Against Women,Sexual Harassment,High,Pending Trial,No,ACT001,SEC007
CR000154,2025-07-15 07:19:03,Vijayapura,Vijayapura,Vijayapur CEN Crime PS,Property Crime,Shop Theft,Medium,Pending Trial,Yes,ACT001,SEC003
CR000155,2024-08-11 18:59:03,Vijayanagara,Kudligi,Gandhinagar PS,Public Order,Illegal Gambling,Medium,Closed,Yes,ACT007,SEC016
CR000156,2025-07-17 23:45:39,Kalaburagi,Jevargi,Ferhatabad PS,Public Order,Rioting,Medium,Closed,Yes,ACT001,SEC018
CR000157,2025-08-26 08:02:02,Kodagu,Virajpet,Madikeri Traffic PS,Crime Against Women,Stalking,High,Closed,Yes,ACT001,SEC013
CR000158,2024-12-05 10:33:32,Mysuru,Tirumakudal - Narsipur,Narasimharaja Traffic PS,Property Crime,Shop Theft,Medium,Closed,No,ACT001,SEC003
CR000159,2024-11-24 23:17:53,Kolar,Bangarapet,Bethamangala PS,Cyber Crime,Phishing,Medium,Closed,No,ACT002,SEC009
CR000160,2025-04-12 22:12:16,Mysuru,Saraguru,Bilikere PS,Violent Crime,Murder,Critical,Charge Sheet Filed,Yes,ACT001,SEC001
CR000161,2025-12-23 07:04:47,Bengaluru South,Ramanagara,Ramanagar CEN Crime PS,Public Order,Rioting,Medium,Pending Trial,Yes,ACT001,SEC018
CR000162,2026-04-10 01:24:23,Chikkaballapura,Chintamani,Nandi Giridhama PS,Economic Crime,Cheating,Medium,Under Investigation,Yes,ACT001,SEC005
CR000163,2026-05-15 07:18:43,Bengaluru Urban,Bengaluru East,High Grounds PS,Public Order,Illegal Gambling,Medium,Under Investigation,Yes,ACT007,SEC016
CR000164,2025-04-05 21:18:27,Chikkamagaluru,Koppa,Jayapura PS,Crime Against Women,Stalking,High,Closed,Yes,ACT001,SEC013
CR000165,2025-04-15 13:19:09,Chikkamagaluru,Chikkamagaluru,Koppa PS,Public Order,Rioting,Medium,Charge Sheet Filed,No,ACT001,SEC018
CR000166,2024-09-10 23:21:01,Chikkamagaluru,Kadur,Koppa PS,Public Order,Rioting,Medium,Closed,No,ACT001,SEC018
CR000167,2024-11-24 23:02:37,Mysuru,Tirumakudal - Narsipur,Jayapura PS,Rural Crime,Sand Mining,Medium,Closed,Yes,ACT001,SEC021
CR000168,2024-08-13 22:21:39,Dharwad,Kalghatgi,Vidyanagar PS,Public Order,Illegal Liquor,Medium,Charge Sheet Filed,Yes,ACT004,SEC017
CR000169,2026-07-12 01:56:45,Chitradurga,Hiriyur,Chitrahalli Gate PS,Economic Crime,Forgery,Medium,Under Investigation,Yes,ACT001,SEC015
CR000170,2025-07-18 06:03:44,Kolar,Kolar Gold Field,Mulbagal Town PS,Crime Against Women,Sexual Harassment,High,Closed,No,ACT001,SEC007
CR000171,2024-12-13 23:17:19,Hassan,Arkalgud,Sakaleshpura Town PS,Economic Crime,Forgery,Medium,Charge Sheet Filed,Yes,ACT001,SEC015
CR000172,2026-06-28 09:51:47,Dharwad,Hubballi,Dharwad Sub-Urban PS,Crime Against Women,Domestic Violence,High,Closed,Yes,ACT001,SEC012
CR000173,2025-08-11 07:06:34,Bengaluru Rural,Devanahalli,Doddaballapura Rural PS,Crime Against Women,Domestic Violence,High,Closed,Yes,ACT001,SEC012
CR000174,2026-06-27 14:29:52,Tumakuru,Sira,Thilak Park PS,Rural Crime,Sand Mining,Medium,Charge Sheet Filed,Yes,ACT001,SEC021
