court_id,court_name,district,court_type
CRT0088,Kalaburagi Civil Judge and JMFC Court,Kalaburagi,Civil Judge and JMFC Court
CRT0089,Kalaburagi Family Court,Kalaburagi,Family Court
CRT0090,Kalaburagi Special Court,Kalaburagi,Special Court
CRT0091,Kodagu District and Sessions Court,Kodagu,District and Sessions Court
CRT0092,Kodagu Senior Civil Court,Kodagu,Senior Civil Court
CRT0093,Kodagu Civil Judge and JMFC Court,Kodagu,Civil Judge and JMFC Court
CRT0094,Kodagu Family Court,Kodagu,Family Court
CRT0095,Kodagu Special Court,Kodagu,Special Court
CRT0096,Kolar District and Sessions Court,Kolar,District and Sessions Court
CRT0097,Kolar Senior Civil Court,Kolar,Senior Civil Court
CRT0098,Kolar Civil Judge and JMFC Court,Kolar,Civil Judge and JMFC Court
CRT0099,Kolar Family Court,Kolar,Family Court
CRT0100,Kolar Special Court,Kolar,Special Court
CRT0101,Koppal District and Sessions Court,Koppal,District and Sessions Court
CRT0102,Koppal Senior Civil Court,Koppal,Senior Civil Court
CRT0103,Koppal Civil Judge and JMFC Court,Koppal,Civil Judge and JMFC Court
CRT0104,Koppal Family Court,Koppal,Family Court
CRT0105,Koppal Special Court,Koppal,Special Court
CRT0106,Mandya District and Sessions Court,Mandya,District and Sessions Court
CRT0107,Mandya Senior Civil Court,Mandya,Senior Civil Court
CRT0108,Mandya Civil Judge and JMFC Court,Mandya,Civil Judge and JMFC Court
CRT0109,Mandya Family Court,Mandya,Family Court
CRT0110,Mandya Special Court,Mandya,Special Court
CRT0111,Mysuru District and Sessions Court,Mysuru,District and Sessions Court
CRT0112,Mysuru Senior Civil Court,Mysuru,Senior Civil Court
CRT0113,Mysuru Civil Judge and JMFC Court,Mysuru,Civil Judge and JMFC Court
CRT0114,Mysuru Family Court,Mysuru,Family Court
CRT0115,Mysuru Special Court,Mysuru,Special Court
CRT0116,Raichur District and Sessions Court,Raichur,District and Sessions Court
CRT0117,Raichur Senior Civil Court,Raichur,Senior Civil Court
CRT0118,Raichur Civil Judge and JMFC Court,Raichur,Civil Judge and JMFC Court
CRT0119,Raichur Family Court,Raichur,Family Court
CRT0120,Raichur Special Court,Raichur,Special Court
CRT0121,Shivamogga District and Sessions Court,Shivamogga,District and Sessions Court
CRT0122,Shivamogga Senior Civil Court,Shivamogga,Senior Civil Court
CRT0123,Shivamogga Civil Judge and JMFC Court,Shivamogga,Civil Judge and JMFC Court
CRT0124,Shivamogga Family Court,Shivamogga,Family Court
CRT0125,Shivamogga Special Court,Shivamogga,Special Court
CRT0126,Tumakuru District and Sessions Court,Tumakuru,District and Sessions Court
CRT0127,Tumakuru Senior Civil Court,Tumakuru,Senior Civil Court
CRT0128,Tumakuru Civil Judge and JMFC Court,Tumakuru,Civil Judge and JMFC Court
CRT0129,Tumakuru Family Court,Tumakuru,Family Court
CRT0130,Tumakuru Special Court,Tumakuru,Special Court
CRT0131,Udupi District and Sessions Court,Udupi,District and Sessions Court
CRT0132,Udupi Senior Civil Court,Udupi,Senior Civil Court
CRT0133,Udupi Civil Judge and JMFC Court,Udupi,Civil Judge and JMFC Court
CRT0134,Udupi Family Court,Udupi,Family Court
CRT0135,Udupi Special Court,Udupi,Special Court
CRT0136,Uttara Kannada District and Sessions Court,Uttara Kannada,District and Sessions Court
CRT0137,Uttara Kannada Senior Civil Court,Uttara Kannada,Senior Civil Court
CRT0138,Uttara Kannada Civil Judge and JMFC Court,Uttara Kannada,Civil Judge and JMFC Court
CRT0139,Uttara Kannada Family Court,Uttara Kannada,Family Court
CRT0140,Uttara Kannada Special Court,Uttara Kannada,Special Court
CRT0141,Vijayanagara District and Sessions Court,Vijayanagara,District and Sessions Court
CRT0142,Vijayanagara Senior Civil Court,Vijayanagara,Senior Civil Court
CRT0143,Vijayanagara Civil Judge and JMFC Court,Vijayanagara,Civil Judge and JMFC Court
CRT0144,Vijayanagara Family Court,Vijayanagara,Family Court
CRT0145,Vijayanagara Special Court,Vijayanagara,Special Court
CRT0146,Vijayapura District and Sessions Court,Vijayapura,District and Sessions Court
CRT0147,Vijayapura Senior Civil Court,Vijayapura,Senior Civil Court
CRT0148,Vijayapura Civil Judge and JMFC Court,Vijayapura,Civil Judge and JMFC Court
CRT0149,Vijayapura Family Court,Vijayapura,Family Court
CRT0150,Vijayapura Special Court,Vijayapura,Special Court
CRT0151,Yadgir District and Sessions Court,Yadgir,District and Sessions Court
CRT0152,Yadgir Senior Civil Court,Yadgir,Senior Civil Court
CRT0153,Yadgir Civil Judge and JMFC Court,Yadgir,Civil Judge and JMFC Court
CRT0154,Yadgir Family Court,Yadgir,Family Court
CRT0155,Yadgir Special Court,Yadgir,Special Court
