investigation_id,case_id,investigating_officer_id,investigation_start_date,investigation_end_date,investigation_status,evidence_collected,witness_count,forensic_required,forensic_completed,remarks
INV000038,CR000038,EMP003447,2024-12-30,2025-02-28,Completed,Yes,4,No,No,Evidence verified and case completed.
INV000039,CR000039,EMP004910,2024-09-17,2025-01-30,Closed,Yes,9,Yes,Yes,Case closed due to insufficient evidence.
INV000040,CR000040,EMP000890,2025-02-03,2025-07-03,Completed,Yes,5,Yes,No,Charge sheet preparation underway.
INV000041,CR000041,EMP000612,2025-02-01,,Ongoing,Yes,3,No,No,Evidence collection in progress.
INV000042,CR000042,EMP000378,2025-01-21,2025-07-11,Closed,Yes,1,Yes,Yes,Case closed due to insufficient evidence.
INV000043,CR000043,EMP000891,2026-05-04,2026-08-07,Completed,Yes,6,No,No,Evidence verified and case completed.
INV000044,CR000044,EMP008600,2025-03-30,2025-06-07,Completed,Yes,8,No,No,Evidence verified and case completed.
INV000045,CR000045,EMP004885,2025-08-10,2025-10-21,Closed,Yes,6,No,No,Investigation closed after verification.
INV000046,CR000046,EMP000780,2025-02-27,2025-04-02,Closed,Yes,3,No,No,Case closed due to insufficient evidence.
INV000047,CR000047,EMP008923,2024-10-27,2024-12-24,Completed,Yes,1,Yes,No,Investigation completed successfully.
INV000048,CR000048,EMP009615,2025-10-08,2026-02-15,Completed,No,2,No,No,Evidence verified and case completed.
INV000049,CR000049,EMP009460,2025-05-29,,Ongoing,Yes,2,No,No,Additional witnesses being examined.
INV000050,CR000050,EMP005009,2026-04-01,2026-05-04,Closed,Yes,0,Yes,No,Complaint found to be false.
INV000051,CR000051,EMP003313,2024-09-15,,Ongoing,Yes,9,Yes,Yes,Additional witnesses being examined.
INV000052,CR000052,EMP004997,2025-04-15,2025-09-13,Completed,Yes,3,No,No,Witness statements recorded.
INV000053,CR000053,EMP008729,2024-11-28,2025-02-18,Closed,Yes,3,No,No,Case closed due to insufficient evidence.
INV000054,CR000054,EMP005210,2026-02-15,2026-03-13,Completed,Yes,8,No,No,Investigation completed successfully.
INV000055,CR000055,EMP001255,2025-12-09,2026-02-03,Completed,No,7,No,No,Charge sheet preparation underway.
INV000056,CR000056,EMP001913,2024-10-02,,Ongoing,No,3,No,No,Awaiting forensic report.
INV000057,CR000057,EMP008408,2026-06-14,2026-12-10,Completed,Yes,4,Yes,Yes,Evidence verified and case completed.
INV000058,CR000058,EMP006709,2024-07-25,2024-11-18,Completed,Yes,0,No,No,Investigation completed successfully.
INV000059,CR000059,EMP003291,2025-03-20,2025-05-07,Completed,No,2,Yes,Yes,Charge sheet preparation underway.
INV000060,CR000060,EMP002636,2025-09-01,2026-01-15,Completed,No,9,Yes,Yes,Charge sheet preparation underway.
INV000061,CR000061,EMP000542,2025-08-28,2025-11-18,Closed,Yes,3,No,No,Case closed due to insufficient evidence.
INV000062,CR000062,EMP004580,2024-07-28,,Ongoing,Yes,4,No,No,Awaiting forensic report.
INV000063,CR000063,EMP005897,2025-08-13,,Ongoing,Yes,3,No,No,Evidence collection in progress.
INV000064,CR000064,EMP004700,2025-12-17,2026-04-19,Closed,Yes,1,Yes,Yes,Complaint found to be false.
INV000065,CR000065,EMP008594,2026-06-16,2026-11-17,Completed,Yes,5,Yes,Yes,Investigation completed successfully.
INV000066,CR000066,EMP001367,2025-08-21,2025-10-05,Completed,Yes,3,No,No,Charge sheet preparation underway.
INV000067,CR000067,EMP006180,2024-10-04,,Ongoing,Yes,5,Yes,Yes,Investigation in progress.
INV000068,CR000068,EMP009678,2025-08-19,,Ongoing,Yes,8,No,No,Awaiting forensic report.
INV000069,CR000069,EMP000083,2025-01-03,2025-04-23,Completed,Yes,3,Yes,Yes,Evidence verified and case completed.
INV000070,CR000070,EMP006162,2025-03-16,,Ongoing,Yes,0,No,No,Additional witnesses being examined.
INV000071,CR000071,EMP008681,2025-02-14,,Ongoing,Yes,4,No,No,Evidence collection in progress.
INV000072,CR000072,EMP008190,2026-07-04,2026-09-11,Closed,Yes,5,No,No,Investigation closed after verification.
INV000073,CR000073,EMP007344,2026-03-12,2026-06-08,Completed,No,5,No,No,Charge sheet preparation underway.
INV000074,CR000074,EMP003390,2025-12-06,2026-05-08,Closed,Yes,3,No,No,Complaint found to be false.
INV000075,CR000075,EMP005272,2024-12-28,2025-03-14,Completed,Yes,3,Yes,Yes,Charge sheet preparation underway.
INV000076,CR000076,EMP006050,2026-06-10,2026-09-13,Completed,Yes,3,No,No,Evidence verified and case completed.
INV000077,CR000077,EMP004625,2026-05-04,2026-07-20,Closed,No,1,No,No,Case closed due to insufficient evidence.
INV000078,CR000078,EMP004034,2026-02-22,2026-06-02,Completed,Yes,4,Yes,Yes,Evidence verified and case completed.
INV000079,CR000079,EMP004951,2025-04-03,2025-06-16,Completed,Yes,6,No,No,Witness statements recorded.
INV000080,CR000080,EMP004270,2025-10-31,2026-01-19,Completed,No,10,Yes,Yes,Evidence verified and case completed.
INV000081,CR000081,EMP003073,2025-10-01,2026-03-23,Completed,Yes,7,No,No,Witness statements recorded.
INV000082,CR000082,EMP005086,2025-03-24,,Ongoing,Yes,7,No,No,Additional witnesses being examined.
INV000083,CR000083,EMP001215,2026-07-06,2026-08-31,Completed,Yes,9,No,No,Evidence verified and case completed.
INV000084,CR000084,EMP000641,2024-09-26,2025-01-21,Completed,Yes,1,No,No,Evidence verified and case completed.
INV000085,CR000085,EMP008675,2024-12-30,2025-03-02,Completed,Yes,4,Yes,Yes,Investigation completed successfully.
INV000086,CR000086,EMP008526,2025-09-21,2026-02-07,Completed,Yes,9,No,No,Witness statements recorded.
INV000087,CR000087,EMP007098,2024-08-18,2024-10-03,Closed,Yes,7,No,No,Case closed due to insufficient evidence.
INV000088,CR000088,EMP006893,2025-01-18,,Ongoing,Yes,3,No,No,Additional witnesses being examined.
INV000089,CR000089,EMP006237,2024-10-11,,Ongoing,Yes,4,Yes,Yes,Awaiting forensic report.
INV000090,CR000090,EMP008084,2025-04-21,,Ongoing,Yes,5,Yes,Yes,Investigation in progress.
INV000091,CR000091,EMP003816,2026-03-29,2026-07-05,Closed,Yes,3,No,No,Investigation closed after verification.
INV000092,CR000092,EMP008562,2025-08-28,2026-02-25,Completed,Yes,2,No,No,Evidence verified and case completed.
INV000093,CR000093,EMP005161,2026-01-07,2026-04-08,Closed,Yes,1,Yes,Yes,Case closed due to insufficient evidence.
INV000094,CR000094,EMP003328,2024-11-19,2024-12-18,Completed,Yes,5,Yes,Yes,Evidence verified and case completed.
INV000095,CR000095,EMP008045,2025-04-17,2025-08-21,Completed,Yes,3,No,No,Evidence verified and case completed.
INV000096,CR000096,EMP001135,2026-01-07,2026-01-25,Completed,Yes,5,No,No,Investigation completed successfully.
INV000097,CR000097,EMP002478,2024-08-05,2024-12-27,Closed,Yes,3,No,No,Case closed due to insufficient evidence.
INV000098,CR000098,EMP009767,2025-05-25,2025-10-17,Completed,Yes,3,Yes,Yes,Charge sheet preparation underway.
INV000099,CR000099,EMP004497,2025-01-01,,Ongoing,No,4,No,No,Evidence collection in progress.
INV000100,CR000100,EMP008509,2025-03-20,2025-05-12,Closed,Yes,5,No,No,Investigation closed after verification.
INV000101,CR000101,EMP002255,2025-12-17,2026-01-01,Completed,Yes,4,No,No,Investigation completed successfully.
INV000102,CR000102,EMP003351,2025-11-17,2025-12-25,Completed,Yes,4,No,No,Charge sheet preparation underway.
INV000103,CR000103,EMP006186,2026-02-27,,Ongoing,Yes,8,No,No,Investigation in progress.
INV000104,CR000104,EMP003540,2025-12-18,2026-06-04,Closed,Yes,6,No,No,Investigation closed after verification.
INV000105,CR000105,EMP008312,2025-10-27,,Ongoing,Yes,5,Yes,Yes,Awaiting forensic report.
INV000106,CR000106,EMP006724,2026-06-14,2026-12-11,Closed,No,1,No,No,Investigation closed after verification.
INV000107,CR000107,EMP006646,2024-07-18,2024-08-24,Completed,Yes,5,No,No,Witness statements recorded.
INV000108,CR000108,EMP000400,2026-06-09,2026-11-28,Completed,Yes,3,No,No,Charge sheet preparation underway.
INV000109,CR000109,EMP003285,2025-01-15,,Ongoing,Yes,4,No,No,Additional witnesses being examined.
INV000110,CR000110,EMP006996,2025-09-29,2025-10-19,Closed,Yes,0,Yes,Yes,Complaint found to be false.
INV000111,CR000111,EMP004329,2025-03-25,2025-06-07,Completed,Yes,6,No,No,Evidence verified and case completed.
INV000112,CR000112,EMP007442,2025-01-03,2025-03-12,Completed,Yes,0,Yes,Yes,Charge sheet preparation underway.
INV000113,CR000113,EMP000409,2025-10-20,2026-03-20,Completed,Yes,10,No,No,Investigation completed successfully.
INV000114,CR000114,EMP007310,2024-09-30,,Ongoing,Yes,4,Yes,Yes,Additional witnesses being examined.
INV000115,CR000115,EMP003009,2026-07-02,2026-12-18,Completed,Yes,9,No,No,Investigation completed successfully.
INV000116,CR000116,EMP003257,2026-03-27,2026-04-27,Completed,Yes,1,No,No,Witness statements recorded.
INV000117,CR000117,EMP008651,2025-10-03,2026-01-04,Completed,Yes,1,No,No,Evidence verified and case completed.
INV000118,CR000118,EMP008525,2025-03-05,2025-07-01,Completed,Yes,8,Yes,Yes,Charge sheet preparation underway.
INV000119,CR000119,EMP001457,2026-05-18,,Ongoing,No,5,No,No,Investigation in progress.
INV000120,CR000120,EMP003297,2024-11-10,,Ongoing,Yes,8,Yes,No,Awaiting forensic report.
INV000121,CR000121,EMP003297,2026-06-11,2026-11-07,Closed,Yes,5,No,No,Case closed due to insufficient evidence.
INV000122,CR000122,EMP008895,2025-09-09,,Ongoing,Yes,2,No,No,Awaiting forensic report.
INV000123,CR000123,EMP008882,2024-12-06,2025-04-05,Completed,Yes,3,No,No,Evidence verified and case completed.
INV000124,CR000124,EMP007009,2025-06-28,2025-12-06,Completed,No,6,No,No,Evidence verified and case completed.
INV000125,CR000125,EMP005305,2026-01-07,,Ongoing,Yes,3,No,No,Evidence collection in progress.
INV000126,CR000126,EMP003323,2025-04-05,2025-07-31,Completed,Yes,4,No,No,Witness statements recorded.
INV000127,CR000127,EMP005979,2025-05-10,,Ongoing,Yes,10,Yes,Yes,Awaiting forensic report.
INV000128,CR000128,EMP000952,2026-05-08,2026-09-22,Completed,Yes,3,Yes,Yes,Witness statements recorded.
INV000129,CR000129,EMP007280,2025-12-17,,Ongoing,Yes,10,Yes,Yes,Awaiting forensic report.
INV000130,CR000130,EMP007891,2025-02-19,2025-04-14,Closed,Yes,2,No,No,Investigation closed after verification.
INV000131,CR000131,EMP008711,2024-07-08,2024-09-05,Completed,Yes,0,Yes,No,Witness statements recorded.
INV000132,CR000132,EMP003296,2025-07-01,2025-08-31,Completed,Yes,1,Yes,Yes,Charge sheet preparation underway.
INV000133,CR000133,EMP006743,2025-09-08,2025-09-28,Completed,Yes,10,No,No,Witness statements recorded.
INV000134,CR000134,EMP003286,2025-03-24,2025-07-20,Completed,Yes,8,No,No,Investigation completed successfully.
INV000135,CR000135,EMP003315,2025-01-05,2025-06-24,Closed,Yes,10,No,No,Case closed due to insufficient evidence.
INV000136,CR000136,EMP002962,2024-08-17,,Ongoing,Yes,4,Yes,Yes,Awaiting forensic report.
INV000137,CR000137,EMP003262,2024-08-07,2024-08-27,Completed,Yes,8,No,No,Charge sheet preparation underway.
INV000138,CR000138,EMP006673,2025-05-12,2025-07-15,Completed,Yes,4,No,No,Witness statements recorded.
INV000139,CR000139,EMP000016,2025-09-30,2025-12-05,Closed,No,4,No,No,Complaint found to be false.
INV000140,CR000140,EMP003369,2026-01-16,2026-07-16,Completed,Yes,3,No,No,Investigation completed successfully.
INV000141,CR000141,EMP007088,2026-06-14,2026-09-17,Closed,Yes,3,Yes,Yes,Investigation closed after verification.
INV000142,CR000142,EMP006073,2025-08-18,2026-02-12,Completed,No,4,No,No,Witness statements recorded.
INV000143,CR000143,EMP008556,2026-07-06,2026-10-02,Completed,Yes,6,No,No,Witness statements recorded.
INV000144,CR000144,EMP003043,2026-01-07,,Ongoing,Yes,5,No,No,Awaiting forensic report.
INV000145,CR000145,EMP003300,2024-08-08,,Ongoing,Yes,4,No,No,Evidence collection in progress.
INV000146,CR000146,EMP003956,2026-02-08,,Ongoing,Yes,0,No,No,Evidence collection in progress.
INV000147,CR000147,EMP006574,2026-05-31,2026-07-22,Completed,Yes,1,No,No,Charge sheet preparation underway.
INV000148,CR000148,EMP000554,2025-06-13,2025-07-04,Completed,Yes,4,No,No,Evidence verified and case completed.
INV000149,CR000149,EMP004598,2025-11-05,,Ongoing,Yes,4,No,No,Awaiting forensic report.
INV000150,CR000150,EMP006763,2026-05-04,2026-10-04,Closed,Yes,5,No,No,Investigation closed after verification.
INV000151,CR000151,EMP005761,2024-09-02,2024-11-13,Closed,Yes,4,No,No,Complaint found to be false.
INV000152,CR000152,EMP006666,2025-08-19,2025-09-09,Completed,Yes,6,Yes,Yes,Charge sheet preparation underway.
INV000153,CR000153,EMP004960,2024-12-27,2025-06-25,Completed,Yes,7,No,No,Investigation completed successfully.
INV000154,CR000154,EMP003329,2025-10-22,2026-02-02,Closed,Yes,2,Yes,Yes,Case closed due to insufficient evidence.
INV000155,CR000155,EMP009247,2025-10-11,2025-11-15,Closed,Yes,1,Yes,Yes,Investigation closed after verification.
INV000156,CR000156,EMP002634,2024-11-21,2024-12-28,Closed,Yes,3,No,No,Investigation closed after verification.
INV000157,CR000157,EMP002318,2024-07-17,2025-01-03,Completed,Yes,4,No,No,Witness statements recorded.
INV000158,CR000158,EMP003306,2026-05-25,2026-09-03,Closed,No,5,No,No,Case closed due to insufficient evidence.
INV000159,CR000159,EMP003263,2026-06-13,2026-07-21,Completed,Yes,3,No,No,Evidence verified and case completed.
INV000160,CR000160,EMP005998,2025-11-11,2026-01-06,Completed,Yes,5,No,No,Investigation completed successfully.
INV000161,CR000161,EMP002291,2024-08-04,2024-09-17,Completed,Yes,1,Yes,Yes,Evidence verified and case completed.
INV000162,CR000162,EMP004882,2024-12-19,2025-04-03,Closed,Yes,4,No,No,Complaint found to be false.
INV000163,CR000163,EMP004821,2026-04-10,2026-05-13,Closed,Yes,4,Yes,Yes,Complaint found to be false.
INV000164,CR000164,EMP008436,2025-04-24,2025-07-31,Closed,No,5,Yes,Yes,Case closed due to insufficient evidence.
INV000165,CR000165,EMP004881,2025-01-14,2025-01-30,Completed,Yes,5,Yes,Yes,Charge sheet preparation underway.
INV000166,CR000166,EMP008645,2025-09-09,2026-02-03,Completed,Yes,6,No,No,Charge sheet preparation underway.
INV000167,CR000167,EMP004977,2025-11-26,2026-03-29,Closed,Yes,3,No,No,Complaint found to be false.
INV000168,CR000168,EMP004102,2025-11-18,2026-03-17,Completed,Yes,7,No,No,Witness statements recorded.
INV000169,CR000169,EMP003300,2024-11-26,2024-12-15,Closed,Yes,5,No,No,Investigation closed after verification.
INV000170,CR000170,EMP003417,2025-11-21,,Ongoing,No,2,No,No,Evidence collection in progress.
INV000171,CR000171,EMP008470,2025-04-27,2025-05-26,Completed,Yes,0,Yes,Yes,Witness statements recorded.
INV000172,CR000172,EMP003024,2026-05-07,,Ongoing,Yes,10,No,No,Evidence collection in progress.
INV000173,CR000173,EMP007477,2024-09-16,2025-02-28,Closed,Yes,3,No,No,Complaint found to be false.
INV000174,CR000174,EMP003301,2025-05-12,2025-10-10,Completed,Yes,1,No,No,Charge sheet preparation underway.
INV000175,CR000175,EMP007826,2024-08-12,,Ongoing,Yes,4,No,No,Investigation in progress.
INV000176,CR000176,EMP009770,2026-03-11,2026-09-03,Closed,Yes,3,No,No,Case closed due to insufficient evidence.
INV000177,CR000177,EMP005272,2025-09-10,2025-12-08,Closed,Yes,3,No,No,Complaint found to be false.
INV000178,CR000178,EMP008575,2024-07-26,,Ongoing,Yes,3,Yes,Yes,Evidence collection in progress.
INV000179,CR000179,EMP006108,2025-06-23,2025-11-15,Completed,No,5,No,No,Investigation completed successfully.
INV000180,CR000180,EMP005355,2024-12-23,2025-05-08,Completed,Yes,0,No,No,Charge sheet preparation underway.
INV000181,CR000181,EMP008803,2026-02-06,2026-04-14,Completed,Yes,4,No,No,Witness statements recorded.
INV000182,CR000182,EMP008766,2024-11-01,2024-12-01,Closed,No,4,No,No,Investigation closed after verification.
INV000183,CR000183,EMP003299,2025-12-20,2026-06-18,Completed,Yes,4,No,No,Charge sheet preparation underway.
INV000184,CR000184,EMP009271,2026-05-19,2026-07-31,Completed,No,7,No,No,Witness statements recorded.
INV000185,CR000185,EMP008926,2025-09-18,2026-02-05,Completed,Yes,4,No,No,Charge sheet preparation underway.
INV000186,CR000186,EMP003050,2025-02-20,2025-08-10,Completed,Yes,3,Yes,Yes,Witness statements recorded.
INV000187,CR000187,EMP007996,2024-10-28,2024-11-09,Completed,Yes,5,Yes,Yes,Investigation completed successfully.
INV000188,CR000188,EMP006643,2025-06-24,,Ongoing,No,6,No,No,Evidence collection in progress.
INV000189,CR000189,EMP008508,2024-12-07,2025-04-26,Completed,Yes,7,Yes,Yes,Evidence verified and case completed.
INV000190,CR000190,EMP003265,2025-08-17,2025-12-28,Closed,Yes,9,No,No,Case closed due to insufficient evidence.
INV000191,CR000191,EMP008050,2025-03-16,,Ongoing,Yes,0,No,No,Awaiting forensic report.
INV000192,CR000192,EMP009786,2025-11-12,,Ongoing,Yes,2,No,No,Awaiting forensic report.
INV000193,CR000193,EMP004551,2026-07-05,2026-08-14,Closed,No,6,No,No,Case closed due to insufficient evidence.
INV000194,CR000194,EMP006645,2025-10-10,2026-02-20,Completed,Yes,5,Yes,Yes,Evidence verified and case completed.
INV000195,CR000195,EMP005868,2026-05-25,2026-06-14,Closed,No,5,Yes,Yes,Case closed due to insufficient evidence.
INV000196,CR000196,EMP004258,2026-02-10,2026-08-02,Completed,Yes,4,No,No,Evidence verified and case completed.
INV000197,CR000197,EMP005473,2025-07-03,2025-11-22,Completed,No,3,No,No,Witness statements recorded.
INV000198,CR000198,EMP008615,2024-09-17,2024-12-11,Completed,No,2,No,No,Evidence verified and case completed.
INV000199,CR000199,EMP006452,2024-12-30,2025-02-03,Completed,Yes,3,No,No,Evidence verified and case completed.
INV000200,CR000200,EMP004874,2025-05-17,2025-08-04,Closed,Yes,0,Yes,Yes,Complaint found to be false.
INV000201,CR000201,EMP008737,2024-10-29,2024-12-30,Completed,No,10,No,No,Witness statements recorded.
INV000202,CR000202,EMP006535,2025-10-01,2025-11-22,Completed,Yes,3,Yes,No,Charge sheet preparation underway.
INV000203,CR000203,EMP006821,2026-01-05,2026-01-23,Completed,Yes,4,No,No,Charge sheet preparation underway.
INV000204,CR000204,EMP009979,2025-03-04,2025-03-27,Completed,Yes,2,No,No,Witness statements recorded.
INV000205,CR000205,EMP004907,2026-02-24,2026-08-21,Completed,Yes,4,No,No,Evidence verified and case completed.
INV000206,CR000206,EMP006188,2026-03-21,2026-05-26,Closed,Yes,1,No,No,Case closed due to insufficient evidence.
INV000207,CR000207,EMP006649,2025-08-03,2025-09-08,Completed,Yes,9,No,No,Witness statements recorded.
INV000208,CR000208,EMP009457,2025-04-08,2025-05-13,Closed,Yes,2,No,No,Investigation closed after verification.
INV000209,CR000209,EMP009204,2024-10-16,2024-12-28,Closed,No,8,Yes,Yes,Investigation closed after verification.
INV000210,CR000210,EMP003300,2024-09-14,2025-03-09,Closed,No,5,No,No,Complaint found to be false.
INV000211,CR000211,EMP002955,2024-10-31,,Ongoing,Yes,0,Yes,Yes,Additional witnesses being examined.
INV000212,CR000212,EMP003290,2025-03-22,2025-05-19,Closed,Yes,10,Yes,Yes,Complaint found to be false.
INV000213,CR000213,EMP004737,2025-11-25,,Ongoing,Yes,1,Yes,Yes,Additional witnesses being examined.
INV000214,CR000214,EMP003307,2026-06-12,,Ongoing,No,3,No,No,Evidence collection in progress.
INV000215,CR000215,EMP004113,2026-02-07,2026-05-07,Closed,Yes,0,No,No,Investigation closed after verification.
INV000216,CR000216,EMP006108,2024-09-13,,Ongoing,Yes,4,No,No,Investigation in progress.
INV000217,CR000217,EMP008016,2026-03-26,2026-09-10,Closed,Yes,6,Yes,Yes,Case closed due to insufficient evidence.
INV000218,CR000218,EMP005139,2025-10-11,2026-01-11,Completed,Yes,9,No,No,Evidence verified and case completed.
INV000219,CR000219,EMP003354,2026-06-16,2026-08-24,Completed,Yes,4,Yes,Yes,Charge sheet preparation underway.
INV000220,CR000220,EMP002995,2024-08-23,2024-11-02,Closed,Yes,10,No,No,Complaint found to be false.
INV000221,CR000221,EMP001527,2025-07-30,,Ongoing,Yes,10,No,No,Evidence collection in progress.
INV000222,CR000222,EMP000569,2026-04-17,,Ongoing,Yes,1,No,No,Awaiting forensic report.
INV000223,CR000223,EMP009389,2025-05-10,2025-07-14,Closed,Yes,3,No,No,Investigation closed after verification.
INV000224,CR000224,EMP009225,2026-06-12,2026-11-16,Completed,Yes,5,No,No,Witness statements recorded.
INV000225,CR000225,EMP001501,2025-01-11,2025-05-07,Completed,No,4,Yes,Yes,Witness statements recorded.
INV000226,CR000226,EMP004902,2024-12-13,,Ongoing,Yes,1,Yes,Yes,Investigation in progress.
INV000227,CR000227,EMP006146,2026-05-26,2026-10-03,Completed,Yes,5,No,No,Evidence verified and case completed.
INV000228,CR000228,EMP003287,2024-11-23,2025-04-23,Completed,Yes,6,Yes,Yes,Witness statements recorded.
INV000229,CR000229,EMP000307,2024-12-05,2025-04-12,Closed,Yes,4,Yes,Yes,Investigation closed after verification.
INV000230,CR000230,EMP001688,2024-08-21,2025-01-21,Completed,Yes,4,No,No,Investigation completed successfully.
INV000231,CR000231,EMP009260,2026-06-30,2026-12-12,Completed,No,1,Yes,Yes,Witness statements recorded.
INV000232,CR000232,EMP004972,2026-04-10,,Ongoing,Yes,4,No,No,Additional witnesses being examined.
INV000233,CR000233,EMP006657,2024-08-11,2024-12-31,Closed,Yes,4,No,No,Complaint found to be false.
INV000234,CR000234,EMP009430,2026-02-28,2026-08-15,Completed,Yes,3,Yes,Yes,Witness statements recorded.
INV000235,CR000235,EMP001533,2025-10-02,,Ongoing,Yes,8,No,No,Awaiting forensic report.
INV000236,CR000236,EMP009162,2025-07-09,2025-10-07,Completed,Yes,7,Yes,Yes,Witness statements recorded.
INV000237,CR000237,EMP003259,2025-03-02,2025-08-09,Closed,No,5,No,No,Investigation closed after verification.
INV000238,CR000238,EMP006027,2024-10-29,2025-04-20,Closed,Yes,0,No,No,Case closed due to insufficient evidence.
INV000239,CR000239,EMP003258,2024-12-13,,Ongoing,Yes,0,Yes,Yes,Evidence collection in progress.
INV000240,CR000240,EMP005530,2025-12-20,2026-05-19,Completed,Yes,10,No,No,Evidence verified and case completed.
INV000241,CR000241,EMP008650,2025-08-28,2025-12-17,Completed,Yes,1,Yes,Yes,Witness statements recorded.
INV000242,CR000242,EMP009583,2025-07-13,,Ongoing,Yes,1,Yes,Yes,Additional witnesses being examined.
INV000243,CR000243,EMP004402,2025-12-06,2026-01-05,Closed,Yes,3,Yes,Yes,Complaint found to be false.
INV000244,CR000244,EMP002633,2025-08-11,,Ongoing,Yes,4,No,No,Additional witnesses being examined.
INV000245,CR000245,EMP003182,2025-07-12,2025-08-03,Completed,Yes,8,No,No,Witness statements recorded.
INV000246,CR000246,EMP006552,2025-08-24,,Ongoing,Yes,3,Yes,Yes,Additional witnesses being examined.
INV000247,CR000247,EMP008326,2024-10-22,2025-03-17,Completed,Yes,5,Yes,Yes,Witness statements recorded.
INV000248,CR000248,EMP006260,2026-07-07,2026-10-26,Completed,Yes,3,No,No,Investigation completed successfully.
INV000249,CR000249,EMP003691,2025-09-22,2025-10-14,Closed,Yes,3,No,No,Investigation closed after verification.
